Ваш курс,Ваш факультет,Ваша форма обучения,Ваш пол,"Поступили ли вы туда, куда сами хотели?",Имеется ли у вас интерес к профессии?,Работаете ли вы по профессии?,Почему вы учитесь в БГУИРе?,Посещаете ли вы лекции?,Ощущаете ли вы нехватку возможности выбирать интересующие вас предметы для изучения? ,Сдаёте ли вы чужие работы?,"Если сдаёте чужие работы, то почему?",Желаете ли вы продолжить обучение с целью получения знаний после выпуска?,Есть ли у вас желание уехать из РБ?,"С вашей точки зрения, уровень загруженности и объём информации по учёбе","Ситуация, когда предмет интересный, а подача плохая, возникает","Ситуация, когда предмет кажется бесполезным, возникает","Эмоции, которые вы получаете от всех частей учебного процесса, скорее","Прямо сейчас у вас есть выбор: получить диплом и выпуститься, или же остаться и доучиться. В обоих случаях армия (для мужчин) и распределение по вашему желанию, место для жилья в Минске вам обеспечено. Ваш диплом и диплом человека, который останется и дослушает все курсы, не будет отличаться. Ваши действия?",И напоследок: опишите БГУИР парой слов или одним предложением,Хотите ещё что-нибудь добавить?
4,ФКП,Бюджетная,Мужской,"Университет - да, специальность - нет",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Общественная жизнь университета, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске",Практически не посещаю,Да,"Да, часто",Отсутствие интереса к предмету,"Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Часто,Часто,Негативные,Получить диплом и выпуститься,Пользу приносит 10% от всего процесса обучения,
1,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - нет",Да,"Да, с 1 курса","Отсрочка от армии, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Часто,Часто,Негативные,Получить диплом и выпуститься,Прокрустово ложе,"Поясняю предыдущий ответ: многие студенты не готовы к нагрузке, которую сваливает на них универ уже на первом же курсе. И это не просто эмоции: я сам смог справится с этой нагрузкой, и даже совместить с учебой работу и курсы начиная с первого семестра; моё мнение сфоримровано после общения со студентами разных курсов. Во всяком случае такая ситуация наблюдается у меня на специальности(привет недопуск к экзамену из-за лаб, которые тупа не успели принять). Таким образом БГУИР бросает многих в жесткие ситуации, что, как по мне, негативно сказывается на образовательном процессе. Как понял, опять же из общения с разными людьми(не только студенты), подход в том же БГУ, хоть и не координально, но отличается, уже не говоря про европейское образование. Кроме этого, опять же моё личное мнение, уровень нагрузки несоответсвует уровню преподавания большинства предметов, но это уже совсем другая тема..."
3,ФИТУ,Бюджетная,Мужской,"Да, и университет, и специальность",Нет,Нет,Нужен диплом,Практически не посещаю,Да,"Да, часто",Отсутствие интереса к предмету,"Да, в другом месте",Есть желание уехать,Нормальный,Очень часто или постоянно,Очень часто или постоянно,Крайне негативные,Получить диплом и выпуститься,-,
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Нет,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Иногда,Редко,Нейтральные,Получить диплом и выпуститься,Хорош для старта,
2,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность","Был до поступления, но пропал","Да, со 2 курса","Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске",Практически не посещаю,Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в другом месте",Есть желание уехать,Нормальный,Иногда,Часто,Негативные,Получить диплом и выпуститься,"БГУ лучше, т.к парень который придумал attention  учался на ФПМИ",НЕА
1,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Очень редко или никогда,Очень редко или никогда,Позитивные,Доучиться,Топ ВУЗ,
Магистрант,ФКСиС,Платная,Мужской,"Университет - да, специальность - нет",Затрудняюсь ответить,"Да, с 3 курса",Нужен диплом,Практически не посещаю,Нет,"Да, практически всегда",Отсутствие интереса к предмету,"Да, в другом месте",Затрудняюсь ответить,Нормальный,Редко,Иногда,Нейтральные,Доучиться,Не хочу,Нет
3,ИЭФ,Платная,Женский,"Да, и университет, и специальность",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом","Да, но только то, что интересно",Да,"Да, часто",Нехватка времени,"Да, в другом месте",Есть желание уехать,Нормальный,Иногда,Иногда,Нейтральные,Доучиться,Знания - стиль жизни ,
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Общежитие/возможность проживать в Минске,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,"Да, в другом месте",Есть желание уехать,Нормальный,Очень часто или постоянно,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,Переоцененный ВУЗ.,
1,ФИТУ,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Нужен диплом,Практически не посещаю,Да,"Да, но крайне редко",Не хватает знаний выполнить самостоятельно,Нет,Есть желание уехать,Нормальный,Очень редко или никогда,Часто,Нейтральные,Получить диплом и выпуститься,чиллаут,нет наверн
