Ваш курс,Ваш факультет,Ваша форма обучения,Ваш пол,"Поступили ли вы туда, куда сами хотели?",Имеется ли у вас интерес к профессии?,Работаете ли вы по профессии?,Почему вы учитесь в БГУИРе?,Посещаете ли вы лекции?,Ощущаете ли вы нехватку возможности выбирать интересующие вас предметы для изучения? ,Сдаёте ли вы чужие работы?,"Если сдаёте чужие работы, то почему?",Желаете ли вы продолжить обучение с целью получения знаний после выпуска?,Есть ли у вас желание уехать из РБ?,"С вашей точки зрения, уровень загруженности и объём информации по учёбе","Ситуация, когда предмет интересный, а подача плохая, возникает","Ситуация, когда предмет кажется бесполезным, возникает","Эмоции, которые вы получаете от всех частей учебного процесса, скорее","Прямо сейчас у вас есть выбор: получить диплом и выпуститься, или же остаться и доучиться. В обоих случаях армия (для мужчин) и распределение по вашему желанию, место для жилья в Минске вам обеспечено. Ваш диплом и диплом человека, который останется и дослушает все курсы, не будет отличаться. Ваши действия?",И напоследок: опишите БГУИР парой слов или одним предложением,Хотите ещё что-нибудь добавить?
Магистрант,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 4 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,Сдаю только свои работы,,"Да, в БГУИР","Возможно, когда-нибудь уеду",Слишком маленький,Часто,Часто,Нейтральные,Доучиться,Когда в лучшем ИТ ВУЗе страны не могут включить телевизор для презентаций.,
3,ФКСиС,Платная,Мужской,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,"Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Слишком большой,Часто,Часто,Нейтральные,Получить диплом и выпуститься,"Отличная перспектива, убитая собственным по*уизмом",
Магистрант,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Нужен диплом, Отсрочка от армии",Практически не посещаю,Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,Есть желание уехать,Слишком большой,Часто,Часто,Нейтральные,Доучиться,пофигизм,
1,ФКП,Бюджетная,Мужской,Нет,Нет,Нет,"Нужен диплом, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, но крайне редко",Не хватает знаний выполнить самостоятельно,Затрудняюсь ответить,Есть желание уехать,Нормальный,Очень часто или постоянно,Иногда,Нейтральные,Доучиться,"ну прикольно, но такое",надо было рэпером становиться
1,ФКСиС,Платная,Мужской,Затрудняюсь ответить,Нет,Нет,"Нужен диплом, Отсрочка от армии",Практически не посещаю,Да,"Да, но редко",Отсутствие интереса к предмету,"Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Иногда,Часто,Крайне негативные,Получить диплом и выпуститься,смерть на каблуках,я сожалею о том что поступил сюда
1,ИЭФ,Платная,Женский,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом","Да, стараюсь посещать по возможности все",Да,"Да, часто","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,Не собираюсь уезжать,Нормальный,Редко,Часто,Позитивные,Доучиться,"Я довольна и не жалею, что поступила",
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса","Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но редко","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,Есть желание уехать,Слишком большой,Иногда,Иногда,Нейтральные,Доучиться,Пойдёт,
2,ИЭФ,Платная,Женский,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Часто,Иногда,Позитивные,Получить диплом и выпуститься,"Хороший вуз, но есть куда стремиться, чтобы быть реально ЛУЧШИМ","Спасибо универу за людей, которые здесь со мной!"
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса","Нужен диплом, Отсрочка от армии, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,Сдаю только свои работы,,Затрудняюсь ответить,Есть желание уехать,Нормальный,Часто,Иногда,Негативные,Получить диплом и выпуститься,Место для получения высшего образования.,Ничего.
1,ФКП,Бюджетная,Женский,Нет,"Был до поступления, но пропал",Нет,Общежитие/возможность проживать в Минске,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,"Да, в другом месте",Есть желание уехать,Нормальный,Часто,Часто,Негативные,Доучиться,чебуречная напротив бнту,
1,ФКП,Бюджетная,Женский,Затрудняюсь ответить,Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Нет,"Да, но редко","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в БГУИР",Затрудняюсь ответить,Нормальный,Очень часто или постоянно,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,:),
2,ФКСиС,Бюджетная,Мужской,"Университет - да, специальность - нет","Был до поступления, но пропал",Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии","Да, стараюсь посещать по возможности все",Да,"Да, но редко","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно","Да, в другом месте",Есть желание уехать,Слишком большой,Часто,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,Можно и самому всё выучить,"Дайте диплом и военный билет, пожалуйста"
3,ИЭФ,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Нужен диплом, Отсрочка от армии, Общежитие/возможность проживать в Минске",Практически не посещаю,Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету","Да, в БГУИР",Есть желание уехать,Нормальный,Часто,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,Мешает работать по специальности,
1,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте",Есть желание уехать,Слишком большой,Часто,Часто,Позитивные,Получить диплом и выпуститься,"Полезно, но бесполезно
Интересно, но скучно
Программирование, но матан",
2,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 1 курса",Нужен диплом,"Да, но только то, что интересно",Да,"Да, но редко",Отсутствие интереса к предмету,"Да, в другом месте",Есть желание уехать,Нормальный,Очень часто или постоянно,Часто,Нейтральные,Получить диплом и выпуститься,Белорусский ВУЗ,
3,ФИТУ,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Нужен диплом,Практически не посещаю,Да,"Да, часто","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,Есть желание уехать,Слишком большой,Очень часто или постоянно,Очень часто или постоянно,Крайне негативные,Получить диплом и выпуститься, Издевательство над людьми ,
1,ИЭФ,Платная,Женский,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Не хватает знаний выполнить самостоятельно,"Да, в другом месте",Есть желание уехать,Нормальный,Очень часто или постоянно,Иногда,Позитивные,Доучиться,"Место, где преподавателям стоит лучше преподносить информацию.",
1,ФИК,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии, Общественная жизнь университета","Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Слишком большой,Часто,Часто,Нейтральные,Получить диплом и выпуститься,Норм,
1,ФКСиС,Бюджетная,Мужской,Затрудняюсь ответить,"Не было до поступления, но появился",Нет,Нужен диплом,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,Нехватка времени,Нет,Есть желание уехать,Нормальный,Очень часто или постоянно,Иногда,Негативные,Доучиться,...,
Магистрант,ФКП,Платная,Женский,"Да, и университет, и специальность",Да,Нет,Нужен диплом,"Да, но только то, что интересно",Да,"Да, часто",Отсутствие интереса к предмету,"Да, в другом месте",Есть желание уехать,Слишком маленький,Очень часто или постоянно,Иногда,Нейтральные,Получить диплом и выпуститься,"Интересные дисциплины, устаревшее содержание",
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,"Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но крайне редко",Отсутствие интереса к предмету,Затрудняюсь ответить,Есть желание уехать,Слишком большой,Часто,Иногда,Нейтральные,Получить диплом и выпуститься,см. ниже,"Программа обучения, которая по идее должна давать базу для дальнейшего самообразования, этого сделать не может ввиду своей неактуальности + она же замедляет процесс самообучения посредством большого количества работ, которые необходимо выполнить на протяжении семестра. Единственным плюсом могу, возможно, выделить наличие мотивации, на мой взгляд, неправильной, так как эта мотивация, в основном, основана на перспективе отчисления при невыполнении учебной нагрузки."
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Нужен диплом,"Да, но только то, что интересно",Да,"Да, часто",Отсутствие интереса к предмету,Затрудняюсь ответить,Есть желание уехать,Слишком большой,Редко,Часто,Негативные,Получить диплом и выпуститься,БГУИР<БНТУ,
2,ФКП,Платная,Женский,"Университет - да, специальность - было без разницы",Да,Нет,Нужен диплом,"Да, но только то, что интересно",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,Не собираюсь уезжать,Нормальный,Часто,Часто,Нейтральные,Получить диплом и выпуститься,"Скука, но без него никак ",
1,ФКП,Платная,Женский,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,"Нужен диплом, Друзья/знакомые/мнение родителей",Практически не посещаю,Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Часто,Очень редко или никогда,Негативные,Доучиться,Норм уник,
3,ФИТУ,Платная,Мужской,"Университет - да, специальность - было без разницы",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,"Да, но редко",Нехватка времени,Затрудняюсь ответить,Затрудняюсь ответить,Нормальный,Иногда,Очень редко или никогда,Нейтральные,Доучиться,Много всего,
3,ФКП,Платная,Мужской,Нет,"Был до поступления, но пропал",Нет,"Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске",Практически не посещаю,Да,"Да, часто",Отсутствие интереса к предмету,"Да, в другом месте",Не собираюсь уезжать,Нормальный,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,веды и стыль жыцця ,я ем огурец
1,ФКП,Платная,Мужской,"Университет - да, специальность - было без разницы",Да,"Да, с 1 курса","Нужен диплом, Друзья/знакомые/мнение родителей",Практически не посещаю,Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте",Есть желание уехать,Нормальный,Иногда,Очень часто или постоянно,Крайне негативные,Получить диплом и выпуститься,Хороший универ но много лишних предметов,Уберите мусор из предметов и добавьте факультет . На профессию девопса вообще нет ничего  
1,ФКП,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Затрудняюсь ответить,Затрудняюсь ответить,Нормальный,Иногда,Часто,Позитивные,Получить диплом и выпуститься,"Прикольно, получение знаний",
1,ФКСиС,Платная,Мужской,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,"Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,Есть желание уехать,Нормальный,Часто,Часто,Позитивные,Получить диплом и выпуститься,/,
1,ФРЭ,Бюджетная,Мужской,"Университет - да, специальность - нет","Не было до поступления, но появился",Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Не хватает знаний выполнить самостоятельно,"Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Иногда,Редко,Позитивные,Доучиться,кузница кадров радиоэлектроники и ИТ,
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Нет,Сдаю только свои работы,,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Часто,Иногда,Позитивные,Доучиться,есть одна потеха,
3,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету",Нет,Есть желание уехать,Нормальный,Очень часто или постоянно,Иногда,Нейтральные,Получить диплом и выпуститься,БГУИр - знание и стиль жизни,"Не хватает вопроса об организации лабораторных работ. Зачастую они крайне неинтересны, скучны и не актуальны, при том, что предмет имеет огромный потенциал"
4,ФИТУ,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса",Считаю БГУИР хорошим местом для получения знаний,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету","Да, в БГУИР",Затрудняюсь ответить,Нормальный,Иногда,Часто,Позитивные,Доучиться,Знания и стиль жизни ,
1,ФИК,Бюджетная,Мужской,Затрудняюсь ответить,"Был до поступления, но пропал",Нет,Друзья/знакомые/мнение родителей,Практически не посещаю,Да,"Да, часто","Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Нет,Есть желание уехать,Слишком большой,Часто,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,"90% всего изучаемого бесполезно в жизни, нужные 10% можно изучить дома в интернете за год, а не 4 года в универе.",
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Отсрочка от армии,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,"Да, в БГУИР",Есть желание уехать,Нормальный,Очень часто или постоянно,Часто,Нейтральные,Доучиться,Это жизнь,
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, со 2 курса","Считаю БГУИР хорошим местом для получения знаний, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, но редко",Отсутствие интереса к предмету,"Да, в другом месте",Есть желание уехать,Нормальный,Иногда,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,"Ожидание ""буду крутым прогером"", реальность ""хмм история и белорусский, куда не пойдем на этот раз?""",
3,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Отсутствие интереса к предмету,Затрудняюсь ответить,Затрудняюсь ответить,Нормальный,Иногда,Иногда,Нейтральные,Доучиться,Ок,
1,ФКСиС,Бюджетная,Женский,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко","Нехватка времени, Не хватает знаний выполнить самостоятельно","Да, в БГУИР",Есть желание уехать,Нормальный,Иногда,Часто,Позитивные,Получить диплом и выпуститься,лучше чем БНТУ,"очень некорректно задан вопрос  с работой. я не работаю по специальности, потому что я в принципе не работаю. добавьте такой вариант ответа, а то можно подумать, что человек работает не по специальности"
2,ФРЭ,Бюджетная,Женский,"Университет - да, специальность - нет",Да,Нет,"Нужен диплом, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,Есть желание уехать,Нормальный,Очень часто или постоянно,Иногда,Негативные,Получить диплом и выпуститься,Не Гарвард ,Хочу поднять зп и планку требований преподам
3,ФИТУ,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,Затрудняюсь ответить,Нормальный,Очень часто или постоянно,Часто,Позитивные,Получить диплом и выпуститься,Возможности,
1,ФИТУ,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Общественная жизнь университета","Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Затрудняюсь ответить,"Возможно, когда-нибудь уеду",Нормальный,Редко,Часто,Нейтральные,Получить диплом и выпуститься,Активный,
2,ФКП,Бюджетная,Мужской,Нет,Нет,Нет,"Нужен диплом, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,.,
2,ФИТУ,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Да,"Да, со 2 курса",Считаю БГУИР хорошим местом для получения знаний,"Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Нет,Есть желание уехать,Слишком большой,Иногда,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,Ад,Неа
1,ФКСиС,Платная,Женский,"Да, и университет, и специальность",Затрудняюсь ответить,Нет,"Нужен диплом, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, но редко",Не хватает знаний выполнить самостоятельно,"Да, в другом месте","Возможно, когда-нибудь уеду",Слишком большой,Иногда,Иногда,Нейтральные,Получить диплом и выпуститься,Хорошее окружение,
2,ФИТУ,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Нет,"Да, но редко",Отсутствие интереса к предмету,Нет,Не собираюсь уезжать,Слишком большой,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,ИИ топ спецуха,ИИ топ спецуха
2,ФРЭ,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,Нехватка времени,"Да, в другом месте",Есть желание уехать,Слишком большой,Часто,Очень редко или никогда,Позитивные,Доучиться,Хоть что-то.,Слишком мало времени на полное изучение предметов.
2,ФИК,Бюджетная,Мужской,"Университет - да, специальность - нет",Да,Нет,Нужен диплом,"Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Отсутствие интереса к предмету,"Да, в БГУИР",Есть желание уехать,Нормальный,Иногда,Часто,Позитивные,Доучиться,Шарага,
2,ФРЭ,Бюджетная,Мужской,"Университет - да, специальность - было без разницы",Затрудняюсь ответить,Нет,"Нужен диплом, Общественная жизнь университета, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету",Нет,Затрудняюсь ответить,Слишком большой,Часто,Часто,Нейтральные,Получить диплом и выпуститься,"Ведущий, потому что единственный, it-вуз страны ","Лишние предметы, чрезмерная ужатость основных предметов, преподы маразматики"
Магистрант,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, с 4 курса","Нужен диплом, Отсрочка от армии, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, но крайне редко",Нехватка времени,Нет,"Возможно, когда-нибудь уеду",Слишком большой,Часто,Часто,Негативные,Получить диплом и выпуститься,Всё не на своих местах. За формальностями теряется суть происходящих вещей и целей. Никому ничего не нужно.,
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Нужен диплом,"Да, стараюсь посещать по возможности все",Да,"Да, но редко",Отсутствие интереса к предмету,"Да, в другом месте",Есть желание уехать,Слишком большой,Очень часто или постоянно,Очень часто или постоянно,Крайне негативные,Получить диплом и выпуститься,ПТУИР,нет
1,ФКСиС,Платная,Мужской,"Университет - да, специальность - было без разницы",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Отсрочка от армии","Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Нет,Есть желание уехать,Слишком большой,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,"Трудно, интересно ",
1,ФКП,Платная,Мужской,"Да, и университет, и специальность",Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Общественная жизнь университета","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Нехватка времени,"Да, в БГУИР",Есть желание уехать,Слишком большой,Иногда,Иногда,Нейтральные,Получить диплом и выпуститься,"БГУИР лучше, чем БНТУ",Нет. 
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность","Был до поступления, но пропал",Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,"Да, но редко","Нехватка времени, Не хватает знаний выполнить самостоятельно","Да, в БГУИР",Есть желание уехать,Нормальный,Часто,Иногда,Негативные,Доучиться,.,
2,ИЭФ,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, с 1 курса","Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей",Практически не посещаю,Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте",Есть желание уехать,Нормальный,Очень часто или постоянно,Очень часто или постоянно,Негативные,Получить диплом и выпуститься,Пустая трата времени и средств,
1,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,Считаю БГУИР хорошим местом для получения знаний,"Да, стараюсь посещать по возможности все",Да,Сдаю только свои работы,,Нет,Есть желание уехать,Нормальный,Иногда,Часто,Нейтральные,Доучиться,описал БГУИР парой слов или предложением ,
1,ФИК,Бюджетная,Мужской,Затрудняюсь ответить,Затрудняюсь ответить,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Общественная жизнь университета, Друзья/знакомые/мнение родителей","Да, стараюсь посещать по возможности все",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету","Да, в БГУИР","Возможно, когда-нибудь уеду",Слишком большой,Иногда,Иногда,Позитивные,Доучиться,"Пара бесполезных и не интересных предметов, нехватка времени. Хорошие перспективы и отличные друзья",
3,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,"Да, с 3 курса","Считаю БГУИР хорошим местом для получения знаний, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Нет,"Да, но редко",Отсутствие интереса к предмету,Нет,Не собираюсь уезжать,Нормальный,Иногда,Редко,Позитивные,Доучиться,"Если не забивать, можно многому научиться",
4,ФИТУ,Бюджетная,Мужской,"Университет - да, специальность - нет","Был до поступления, но пропал",Нет,"Нужен диплом, Отсрочка от армии","Да, но только то, что интересно",Да,"Да, часто","Нехватка времени, Отсутствие интереса к предмету, Не хватает знаний выполнить самостоятельно",Затрудняюсь ответить,Есть желание уехать,Слишком большой,Очень часто или постоянно,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,123,
1,ФИТУ,Бюджетная,Женский,"Да, и университет, и специальность","Не было до поступления, но появился",Нет,Друзья/знакомые/мнение родителей,"Да, но только то, что интересно",Да,"Да, но редко",Нехватка времени,Затрудняюсь ответить,Есть желание уехать,Слишком большой,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,Сложна,
1,ФКСиС,Бюджетная,Женский,"Да, и университет, и специальность",Да,"Да, с 1 курса","Нужен диплом, Друзья/знакомые/мнение родителей, Общежитие/возможность проживать в Минске","Да, но только то, что интересно",Да,"Да, но крайне редко","Нехватка времени, Отсутствие интереса к предмету","Да, в другом месте","Возможно, когда-нибудь уеду",Нормальный,Иногда,Часто,Нейтральные,Получить диплом и выпуститься,"Место, которому не хватает увлеченности и открытости, но в котором можно жить, если жизнь на университете не заканчивается",
2,ФКСиС,Платная,Мужской,"Да, и университет, и специальность",Да,"Да, с 1 курса","Нужен диплом, Отсрочка от армии, Друзья/знакомые/мнение родителей","Да, но только то, что интересно",Да,"Да, но редко","Нехватка времени, Отсутствие интереса к предмету",Затрудняюсь ответить,Затрудняюсь ответить,Нормальный,Часто,Очень часто или постоянно,Нейтральные,Получить диплом и выпуститься,Все ок,
2,ФКСиС,Бюджетная,Мужской,"Да, и университет, и специальность",Да,Нет,"Считаю БГУИР хорошим местом для получения знаний, Нужен диплом, Отсрочка от армии","Да, стараюсь посещать по возможности все",Да,"Да, но крайне редко",Нехватка времени,"Да, в БГУИР",Есть желание уехать,Нормальный,Иногда,Иногда,Позитивные,Доучиться,Знания и стиль жизни),
1,ФИТУ,Бюджетная,Мужской,"Университет - да, специальность - нет",Затрудняюсь ответить,Нет,Нужен диплом,"Да, но только то, что интересно",Да,"Да, но редко",Отсутствие интереса к предмету,Нет,Есть желание уехать,Нормальный,Иногда,Иногда,Нейтральные,Доучиться,За одногруппников пару баллов докину 6/10,
